manufacturer_id,manufacturer_name
634,Vestal Healthcare
635,Heal India Laboratories
636,Allien Pharmaceuticals
637,Orlife Healthcare
638,Bonsai Pharma
639,Yuventis Pharmaceuticals
640,Aust Ind Labs
641,Suncruz Pharmaceuticals
642,Kriven Health Solutions
643,Baxter India Pvt Ltd
644,Oxygen Pharma Care Pvt Ltd
645,Sanity Pharma
646,Avonic Life Sciences
647,Blaze Remedies
648,Sarian Healthcare
649,GH Vision Care Life Science
650,Capto Therapeutics
651,General Medicine Therapeutics Pvt Ltd
652,Triko Pharmaceuticals
653,Beulah Biomedics Ltd
654,General Pharmaceuticals Pvt Ltd
655,Alka Pharma
656,Guillain Pharma Private Limited
657,Chandra Bhagat Pharma Pvt Ltd
658,Talent Healthcare
659,Accilex Nutricorp
660,Dallas Pharmaceuticals and Formulations Pvt Ltd
661,Ipc Healthcare Pvt Ltd
662,Modern Medisciences
663,Comed Chemicals Ltd
664,Quality Bestochem Formulations Pvt Ltd
665,Shreeji Healthcare Impex
666,Gennext Life Sciences
667,Gnova Biotech
668,Curewin Hylico Pharma Pvt Ltd
669,Armour Remedies India Ltd
670,Mcastro Pharma
671,C M R Life Sciences
672,Goddres Pharmaceuticals Pvt Ltd
673,In Med Therapeutics
674,Abseil Pharmaceticals Pvt Ltd
675,Domagk Smith Labs Pvt Ltd
676,Leo Life Science Pvt Ltd
677,Medfence Labs
678,Reliance Formulation Pvt Ltd
679,Acekinetics Healthcare Pvt Ltd
680,Sunij Pharma Pvt Ltd
681,Slaney Healthcare
682,Plena Remedies
683,Angiolife Healthcare Pvt Ltd
684,Adikan Healthcare Pvt Ltd
685,Asolear Pharma Pvt Ltd
686,Stenkem Molecules Pvt Ltd
687,Racoon Pharmaceutical
688,V Care Pharma Pvt Ltd
689,Albus Healthcare Pvt Ltd
690,Life Gain Pharma
691,Archmed Biotech Pvt Ltd
692,Azine Healthcare Pvt Ltd
693,Zither Pharmaceutical Pvt Ltd
694,Abiba Pharmacia Pvt Ltd
695,Celera Healthcare Pvt. Ltd.
696,Deep Pharmaceutical
697,Lividus Pharmaceuticals Pvt Ltd
698,Dynamed Pharmaceuticals Pvt Ltd
699,Fluense Pharmaceutical
700,Gland Pharma Limited
701,May and Baker Pharmaceuticals Ltd
702,Truecure Healthcare Private Limited
703,Arwana Pharmaceuticals
704,Regal Healthcare
705,Lenimen Biotech
706,Megavision Pharmaceuticals
707,Medico Healthcare
708,Dokcare Life Sciences
709,Malody Healthcare Ltd
710,Scott Edil Pharmacia Ltd
711,Zephyr Medicare Pvt Ltd
712,Sunlife Pharmaceuticals Ltd
713,Vintek Pharmaceuticals
714,Indoglobe Ventures Private Limited
715,Rebanta Health Care (P) Limited
716,Avalanche Pharmaceuticals
717,Pharma Plus
718,RMPL Pharma LLP
719,Palvin Pharmaceuticals
720,Dahlia Pharmaceutical Pvt Ltd
721,Arrient Healthcare Pvt Ltd
722,Cian Health Care Pvt Ltd
723,Monark Biocare Pvt Ltd
724,Qren Lifesciences Pvt Ltd
725,Jemon Pharmaceutical
726,Palsons Derma
727,Biomorph Lifesciences
728,Albia Biocare
729,Regent Ajanta Biotech
730,MPC Pharmaceuticals
731,Suncure Lifescience Pvt Ltd
732,Lancer Health Care Pvt Ltd
733,Aryan Biotech Pvt Ltd
734,Johnlee Pharmaceuticals Pvt Ltd
735,Morgen Healthcare
736,Urvija Pharmaceuticals
